seed,tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,checksum
42,random,read_heavy,25700,50000,536,49464,30.931,1.344,480.721,0.79,550.54,357.626,409.567,3919872,128500,1774324,865630
42,random,read_heavy,25800,50000,499,49501,54.353,2.872,528.643,0.747,491.204,184.062,171.026,4501504,129000,1781224,911797
42,random,read_heavy,25900,50000,474,49526,51.675,2.633,622.164,0.806,458.982,236.277,174.306,958464,129500,1788124,946354
42,random,read_heavy,26000,50000,510,49490,41.037,1.927,546.429,1.651,594.856,283.565,308.695,548864,130000,1795024,949580
42,random,read_heavy,26100,50000,490,49510,55.611,1.715,621.237,0.82,519.973,362.279,303.227,1372160,130500,1801924,940463
42,random,read_heavy,26200,50000,514,49486,30.388,1.462,560.461,0.733,520.598,383.274,356.013,1097728,131000,1808824,943863
42,random,read_heavy,26300,50000,472,49528,45.473,1.484,609.503,0.847,487.759,410.688,328.656,1376256,131500,1815724,1001235
42,random,read_heavy,26400,50000,525,49475,33.746,1.475,360.481,1.753,541.579,244.427,367.222,573440,132000,1822624,781944
42,random,read_heavy,26500,50000,488,49512,74.843,2.757,512.887,0.925,553.573,186.031,200.788,4730880,132500,1829524,899044
42,random,read_heavy,26600,50000,515,49485,58.117,2.281,732.469,1.28,440.812,321.117,193.254,2590608,106496,1810432,971516
42,random,read_heavy,26700,50000,502,49498,34.639,1.444,536.005,1.135,564.296,371.221,390.814,3817472,133500,1843324,961209
42,random,read_heavy,26800,50000,501,49499,31.561,1.575,513.075,0.804,525.669,325.803,333.8,2578920,134000,1850224,846517
42,random,read_heavy,26900,50000,500,49500,34.5,1.516,617.776,0.812,540.485,407.423,356.45,274432,134500,1857124,965170
42,random,read_heavy,27000,50000,517,49483,33.427,1.389,443.957,0.798,510.576,319.716,367.691,4390912,135000,1864024,879538
42,random,read_heavy,27100,50000,483,49517,92.14,2.082,641.387,0.903,468.172,308.004,224.823,548864,135500,1870924,914463
42,random,read_heavy,27200,50000,519,49481,33.467,1.385,568.373,0.914,473.45,410.467,341.916,2597520,136000,1877824,905495
42,random,read_heavy,27300,50000,478,49522,44.301,2.961,617.954,1.849,548.789,208.733,185.37,4800512,136500,1884724,992987
42,random,read_heavy,27400,50000,515,49485,66.505,1.776,553.102,0.849,559.924,311.466,315.308,1757184,137000,1891624,925887
42,random,read_heavy,27500,50000,517,49483,39.328,3.613,484.711,0.829,611.368,134.15,169.204,2614220,137500,1898524,901891
42,random,read_heavy,27600,50000,496,49504,44.074,1.51,546.647,0.809,475.341,362.114,314.879,299008,138000,1905424,944779
42,random,read_heavy,27700,50000,490,49510,43.874,5.219,660.098,1.97,628.61,126.472,120.439,4186112,138500,573440,1003313
42,random,read_heavy,27800,50000,508,49492,35.353,1.444,491.022,0.936,612.199,340.09,424.02,4923392,139000,344064,929319
42,random,read_heavy,27900,50000,528,49472,33.663,1.467,496.778,0.903,643.393,338.658,438.607,2592768,139500,1926124,942494
42,random,read_heavy,28000,50000,499,49501,32.898,1.502,734.104,0.905,401.687,488.816,267.47,2596864,140000,1933024,1008011
42,random,read_heavy,28100,50000,531,49469,57.67,1.689,566.327,1.557,477.215,335.264,282.51,1028096,140500,1939924,910793
42,random,read_heavy,28200,50000,502,49498,63.123,3.261,648.397,1.679,655.171,198.828,200.905,3375104,141000,1946824,1003490
42,random,read_heavy,28300,50000,515,49485,75.052,2.11,637.468,0.87,565.115,302.189,267.891,2875392,141500,1953724,1047326
42,random,read_heavy,28400,50000,539,49461,73.313,3.134,499.127,1.846,446.015,159.262,142.315,983040,142000,1960624,923259
42,random,read_heavy,28500,50000,509,49491,34.532,1.507,637.829,1.583,533.229,423.244,353.835,1265664,142500,1967524,934831
42,random,read_heavy,28600,50000,512,49488,54.094,3.23,567.13,0.903,599.361,175.571,185.549,4403200,143000,258048,960917
42,random,read_heavy,28700,50000,528,49472,40.71,1.57,484.232,0.876,659.108,308.389,419.76,5488640,143500,1981324,916603
42,random,read_heavy,28800,50000,515,49485,36.296,1.633,563.213,0.942,615.492,344.937,376.955,4939776,144000,1988224,921819
42,random,read_heavy,28900,50000,502,49498,69.702,2.817,715.125,0.971,539.379,253.851,191.466,274432,144500,1995124,1017806
42,random,read_heavy,29000,50000,505,49495,35.184,1.518,781.945,1.88,636.558,515.149,419.368,1372160,145000,2002024,1007098
42,random,read_heavy,29100,50000,509,49491,77.566,2.81,582.184,0.873,592.984,207.168,211.011,1249280,145500,2008924,954632
42,random,read_heavy,29200,50000,509,49491,34.96,1.621,528.11,1.905,564.887,325.772,348.459,2865768,146000,2015824,913732
42,random,read_heavy,29300,50000,476,49524,47.967,3.053,620.938,0.907,488.925,203.379,160.141,1646592,146500,2022724,1015641
42,random,read_heavy,29400,50000,512,49488,67.727,1.705,517.828,0.91,497.15,303.729,291.601,1531904,147000,2029624,926742
42,random,read_heavy,29500,50000,476,49524,35.925,1.768,699.759,0.914,525.01,395.813,296.968,1097728,147500,2036524,1082273
42,random,read_heavy,29600,50000,532,49468,55.856,1.468,525.126,0.917,536.548,357.788,365.57,5242880,148000,2043424,973671
42,random,read_heavy,29700,50000,532,49468,62.821,1.569,881.192,0.99,504.8,561.627,321.733,5541888,148500,2050324,1001216
42,random,read_heavy,29800,50000,481,49519,76.992,2.918,679.213,0.905,572.378,232.735,196.127,1921024,149000,2057224,1020561
42,random,read_heavy,29900,50000,479,49521,81.248,5.669,528.997,1.081,601.616,93.314,106.124,1921024,149500,2064124,966190
42,random,read_heavy,30000,50000,526,49474,68.23,2.231,577.892,2.018,524.578,259.005,235.11,2962248,150000,2071024,1002515
42,random,balanced,300,50000,7421,42579,0.338,0.598,4.5,0.01,11.009,7.52,18.397,17244,1500,13628,3151
42,random,balanced,400,50000,7552,42448,0.731,1.365,5.582,0.013,10.733,4.089,7.862,24912,2000,18128,4734
42,random,balanced,500,50000,7573,42427,0.856,1.323,10.764,0.038,37.227,8.135,28.134,31052,2500,22628,5999
42,random,balanced,600,50000,7531,42469,0.658,0.696,5.495,0.018,14.07,7.891,20.204,37832,3000,29528,6458
42,random,balanced,700,50000,7605,42395,0.634,0.672,5.242,0.018,71.635,7.8,106.583,47092,3500,34428,8954
42,random,balanced,800,50000,7535,42465,1.502,1.214,9.455,0.054,31.204,7.787,25.701,56696,4000,39328,8774
42,random,balanced,900,50000,7500,42500,1.797,1.172,8.002,0.035,38.691,6.825,33.002,63372,4500,44228,10116
42,random,balanced,1000,50000,7445,42555,0.997,0.699,5.874,0.026,30.847,8.405,44.137,68048,5000,49128,13641
42,random,balanced,1100,50000,7450,42550,1.08,0.698,5.866,0.028,31.879,8.4,45.645,74708,5500,58556,13984
42,random,balanced,1200,50000,7461,42539,1.351,0.791,9.083,0.049,36.852,11.485,46.594,84856,6000,63856,14651
42,random,balanced,1300,50000,7465,42535,1.17,0.705,5.746,0.029,72.0,8.149,102.113,92900,6500,69156,15540
42,random,balanced,1400,50000,7473,42527,1.34,0.729,6.268,0.032,44.241,8.601,60.713,100320,7000,74456,15573
42,random,balanced,1500,50000,7528,42472,1.391,0.761,10.294,0.042,82.093,13.522,107.832,81920,7500,79756,18513
42,random,balanced,1600,50000,7368,42632,3.544,1.668,14.245,0.108,83.74,8.539,50.198,77824,8000,85056,20171
42,random,balanced,1700,50000,7424,42576,2.066,1.247,15.119,0.095,104.552,12.122,83.829,125236,8500,90356,20755
42,random,balanced,1800,50000,7481,42519,2.704,1.322,13.396,0.099,89.959,10.132,68.043,81920,9000,95656,21015
42,random,balanced,1900,50000,7461,42539,4.004,1.7,13.112,0.065,77.928,7.712,45.837,140756,9500,100956,23434
42,random,balanced,2000,50000,7587,42413,1.852,0.743,7.715,0.044,50.726,10.382,68.263,144952,10000,106256,25249
42,random,balanced,2100,50000,7461,42539,1.992,0.749,7.839,0.058,58.194,10.461,77.664,153884,10500,119956,23916
42,random,balanced,2200,50000,7441,42559,3.202,0.708,7.71,0.052,74.035,10.898,104.643,165680,11000,125656,25337
42,random,balanced,2300,50000,7520,42480,2.242,0.792,7.865,0.066,99.748,9.926,125.896,233472,11500,131356,26102
42,random,balanced,2400,50000,7489,42511,3.668,1.759,18.201,0.152,117.737,10.346,66.922,204800,12000,137056,28779
42,random,balanced,2500,50000,7527,42473,2.795,0.884,10.579,0.092,68.672,11.972,77.71,49152,12500,142756,29502
42,random,balanced,2600,50000,7578,42422,2.671,0.762,15.569,0.13,124.968,20.421,163.914,90112,13000,148456,29727
42,random,balanced,2700,50000,7518,42482,2.84,2.054,15.314,0.144,101.423,7.457,49.385,102400,13500,154156,31534
42,random,balanced,2800,50000,7521,42479,2.704,1.08,10.465,0.065,99.208,9.69,91.859,221016,14000,159856,33937
