tree_type,workload,n,queries,paint_count,query_count,centroid_build_ms,centroid_run_ms,naive_bfs_run_ms,lca_build_ms,lca_run_ms,speedup_vs_naive,speedup_vs_lca,centroid_memory_bytes,naive_memory_bytes,lca_memory_bytes,speedup_vs_naive_mean,centroid_run_ms_mean,naive_bfs_run_ms_mean,speedup_vs_naive_std,centroid_run_ms_std,naive_bfs_run_ms_std
path,balanced,2600,50000,7363.0,42637.0,5.187,2.368,22.019,0.121,165.326,9.748,70.365,250736.0,13000.0,148456.0,9.362,2.324333333333333,21.737666666666666,0.7793349729095954,0.08177000264970848,1.5700198512545425
path,balanced,2700,50000,7486.0,42514.0,5.617,2.42,27.334,0.136,165.113,9.293,68.237,147456.0,13500.0,154156.0,10.008666666666667,2.5846666666666667,25.723333333333333,1.536087345606796,0.3097762633471672,3.52383049157211
path,balanced,2800,50000,7434.0,42566.0,5.952,2.448,22.183,0.115,163.081,9.154,67.3,77824.0,14000.0,159856.0,8.754666666666667,2.4476666666666667,21.431,0.7780805442454737,0.024501700621249258,1.93206858056333
path,balanced,2900,50000,7526.0,42474.0,5.98,2.474,24.005,0.153,179.435,10.691,77.252,77824.0,14500.0,165556.0,10.342333333333334,2.359666666666667,24.284666666666666,1.2151153580353324,0.21115476156917082,2.1988793357829644
path,balanced,3000,50000,7578.0,42422.0,5.952,2.488,22.604,0.131,173.865,8.798,69.514,294336.0,15000.0,171256.0,8.758000000000001,2.5733333333333333,22.483,0.4912229636326054,0.18262073631801334,0.5436938476753272
path,balanced,3100,50000,7449.0,42551.0,7.383,2.511,22.633,0.133,180.589,9.014,71.925,305236.0,15500.0,176956.0,8.685666666666666,2.5336666666666665,21.927999999999997,1.2990028226810493,0.08821186617078963,2.568131421870773
path,balanced,3200,50000,7451.0,42549.0,6.892,2.488,24.687,0.142,185.138,9.922,74.412,316136.0,16000.0,182656.0,9.485666666666667,2.5836666666666663,24.385333333333335,0.9830291619953778,0.18686982991733397,0.8753926737946421
path,balanced,3300,50000,7554.0,42446.0,9.202,2.624,29.06,0.22,186.823,11.744,74.299,327036.0,16500.0,122880.0,11.591333333333333,2.464,28.206,2.19598368239232,0.2981543224573476,3.397475974896658
path,balanced,3400,50000,7580.0,42420.0,6.853,2.637,24.849,0.167,196.368,9.505,78.85,337936.0,17000.0,194056.0,9.607,2.5896666666666666,24.864,0.33196837198745294,0.08635006272918008,0.24484484883288918
path,balanced,3500,50000,7556.0,42444.0,7.339,2.521,25.003,0.142,196.504,9.952,77.959,348836.0,17500.0,199756.0,9.896333333333333,2.5216666666666665,24.94633333333333,0.25804327802392635,0.05200320502943361,0.17406129188688987
path,balanced,3600,50000,7482.0,42518.0,7.005,2.509,25.376,0.159,200.844,10.264,80.705,344064.0,18000.0,205456.0,10.179,2.639,26.618666666666666,1.6831105133056479,0.25787400024042756,2.641194679180871
path,balanced,3700,50000,7580.0,42420.0,6.313,2.57,25.263,0.106,193.05,9.831,77.39,370636.0,18500.0,211156.0,10.662333333333335,2.547,27.102999999999998,1.836963890046109,0.046032597145935626,4.14457187173778
path,balanced,3800,50000,7525.0,42475.0,8.075,2.637,25.718,0.148,204.985,9.752,77.687,180224.0,19000.0,216856.0,9.818333333333333,2.6350000000000002,25.863333333333333,0.19323646998776714,0.07102112361825882,0.4624568448334759
path,balanced,3900,50000,7472.0,42528.0,8.507,3.117,27.532,0.29,210.686,11.535,67.597,392436.0,19500.0,222556.0,10.692333333333332,2.9776666666666665,31.673333333333336,1.611686797530256,0.6169159856360779,7.66662620279177
path,balanced,4000,50000,7568.0,42432.0,8.43,2.53,27.166,0.153,217.576,10.643,86.015,233472.0,20000.0,228256.0,10.355333333333334,2.626,27.12166666666667,0.6372176498915684,0.1697527613913837,0.21889342916893167
path,balanced,4100,50000,7491.0,42509.0,8.787,2.637,27.487,0.193,221.704,10.246,89.16,414276.0,20500.0,250356.0,10.797333333333334,2.5773333333333333,27.850333333333335,1.201909037046204,0.2157784357467941,4.092115386121626
path,balanced,4200,50000,7502.0,42498.0,10.646,2.691,32.52,0.191,224.034,10.809,83.25,425976.0,21000.0,256456.0,10.496333333333332,3.033,31.067666666666668,1.764895558760725,0.7352904188142261,3.2414673117792416
path,balanced,4300,50000,7451.0,42549.0,8.882,2.552,31.438,0.254,236.835,12.286,92.108,437676.0,21500.0,262812.0,11.830999999999998,2.566666666666667,30.370333333333335,0.8814766020717737,0.03911947511576999,2.421944742006584
path,balanced,4400,50000,7518.0,42482.0,9.69,2.711,28.529,0.192,235.773,10.523,93.176,449376.0,22000.0,268912.0,11.823,2.465333333333333,28.31233333333333,2.4482189444573788,0.5118147451308269,0.7382440879095035
path,balanced,4500,50000,7441.0,42559.0,9.671,2.764,30.392,0.183,243.802,10.202,87.098,461076.0,22500.0,275012.0,10.753333333333332,2.932,31.006666666666664,2.190666641306553,0.4275184206557656,3.1542419585905805
path,balanced,4600,50000,7534.0,42466.0,9.845,3.381,37.338,0.174,232.577,11.044,67.094,472776.0,23000.0,281112.0,11.204,3.1543333333333337,34.46933333333333,1.5830758036177548,0.8353905274381157,5.024203950212747
path,balanced,4700,50000,7493.0,42507.0,9.832,2.574,30.176,0.19,240.481,11.096,93.431,484476.0,23500.0,287212.0,14.206000000000001,2.294,30.153666666666666,5.562532157210418,0.6620090633820656,1.5826181893727045
path,balanced,4800,50000,7528.0,42472.0,10.173,2.626,28.355,0.189,233.015,12.35,86.202,496176.0,24000.0,293312.0,11.732,2.5706666666666664,30.00266666666667,1.4197422301248916,0.25160551133338355,2.9899599216934885
path,balanced,4900,50000,7443.0,42557.0,10.346,2.675,29.511,0.194,263.055,11.033,98.723,507876.0,24500.0,299412.0,11.239666666666666,2.7336666666666667,29.876666666666665,2.1644126994021575,0.5971652479283547,0.848787566669855
path,balanced,5000,50000,7500.0,42500.0,11.165,2.936,33.04,0.236,254.156,11.409,85.429,519576.0,25000.0,305512.0,11.226999999999999,3.037333333333333,33.75333333333333,1.6873775511129694,0.41537613476623003,3.5669037460146464
path,balanced,5100,50000,7452.0,42548.0,10.203,2.699,31.393,0.209,255.487,11.332,93.502,531276.0,25500.0,311612.0,14.254,2.617,34.041666666666664,5.313299069316539,1.0384310280418243,6.021051846092454
path,balanced,5200,50000,7367.0,42633.0,11.122,2.73,30.958,0.211,256.338,10.561,84.627,542976.0,26000.0,317712.0,10.530666666666667,2.9283333333333332,30.64333333333333,0.9118784641241037,0.3618623126733888,1.6772854060455331
